,Hindi,roman
2652,श्वसन क्रिया को सम रखता है।,Shvasan kriya ko sam rakhta hai.
2653,शेरपा ने दो बार टीम के लिए रास्ता खोलना बंद कर दिया क्योंकि उन्हें उम्मीद नहीं थी कि महिलाएँ कठिनाइयों का प्रबंधन कर सकती हैं।,Sherpa ne do baar team ke liye rasta kholna band kar diya kyonki unhe umeed nahi thi ki mahilayen kathinaiyon ka prabandhan kar sakti hain.
2654,माइक्रोवेव आटोक्लेव,Micorwave Autoclave
2655,महासागर का जल निरंतर एक नियमित गति से बहता रहता है और इन धाराओं के विभिन्न रूप देखने को मिलते हैं।,mahasaagar kaa jal nirantar ek niyamit gati se bahtaa rahtaa hai aur in dharaon ke vibhinn rup dekhne ko milte hain.
2656,मददगार बीरबल,madadgar Beerabal
2657,"उसने जमींदारों, उलेमाओं एवं सन्तो के प्रति दोस्ताना नीति अपनाई।","Usne jamindaron, ulemaon evam santon ke prati dostana niti apnai"
2658,सफदरजंग का मकबरा,safdarjung ka makbara
2659,70 टन वजन ले जाने में सक्षम,70 tan vajan le jaane men saksham.
2660,"कांग्रेस की डिफेंस टीम में सर तेज बहादुर सप्रू के नेतृत्व में मुल्क के उस समय के कई नामी-गिरामी वकील भूलाभाई देसाई, सर दिलीपसिंह, आसफ अली, पं॰ जवाहरलाल नेहरू, बख्शी सर टेकचंद, कैलाशनाथ काटजू, जुगलकिशोर खन्ना, सुल्तान यार खान, राय बहादुर बद्रीदास, पी.","Congress ki Difence Team men Sir Tej Bahadur sapru ke netrutw men Mulk ke us samay ke kai Nami-Girami Wakil Bhulabhai Desai, Sir Dilipsinh, Aasaf Ali, Pan. Jawaharlaal Nehru, Bakshi sir Tekchand, Kailashnaath Kataju, Jugalkishor Khanna, Sultaan Yar Khan, Rai Bahadur Bdridaas, P."
2661,मोहम्मद अब्दुल गफूर हजारवी,Mohammad Abdul Gafur Hajaravi
2662,"हम भी वहीं मौजूद थे, हमसे भी शब पूछा किए","ham bhi vahin maujud the, hamse bhi shab puchhaa kiye"
2663,"मॉडर्ना मुसीट, स्टॉकहोम",Moderna Museet Stockholm
2664,२४ जुलाई २०१६ को अल्पमत में आ जाने पर राष्ट्रपति को अपना त्यागपत्र सौंप दिया।,24 Jully 2016 ko alpmat men aa jane par Rashtrapati ko apna tyagpatr saunp diya.
2665,इसी दौरान सरकार के अनुरूप समाचारों का प्रस्तुतीकरण करने के लिये 1868 में समय विनोद तथा 1871 में अल्मोड़ा अखबार की शुरूआत हुयी।,isi dauraan Sarkaar ke anuroop Samacharon ka prastutikaran karne ke liye 1868 men samay Vinod tatha 1871 men Almoda Akhabaar ki shurvaat hui.
2666,एक अधिक सुरक्षित और अधिक आत्मविश्वासपूर्ण निदान के लिए सीरम के स्व प्रतिरक्षियों की जांच करने का प्रस्ताव किया गया है।,ek adhik surakshit aur adhik aatmvishvaspurn nidan ke liye serum ke sva pratirakshiyo ki janch karne ka prastav kiya gaya hai.
2667,"खान ने अरबी, फारसी और उर्दू में किताबें लिखीं, जिनमें तीस मात्रा के फतवा संकलन फतवा रजाविया, और कन्ज़ुल इमान (पवित्र कुरान का अनुवाद और स्पष्टीकरण) शामिल था।","Khan ne Arbi, Farsi aur Urdu men kitaben likhin, jismen tees matra ke Fatva sanklan Fatva Rajviya aur Kanjul Imaan (pavitr Kuraan ka anuvaad aur spshtikaran) shamil tha."
2668,मराठवाडा भारत के महाराष्ट्र प्रदेश का एक एक क्षेत्र हैं।,Marathwad Bharat ke Maharashtra pradesh ka ek ek kshetra hain.
2669,फिर उस दिन उन्होंने कोई जिरह नहीं की।,fir us din unhonen koi jirah nahin kii.
2670,अंग्रेजों का इस क्षेत्र पर पूर्ण अधिकार 4 अप्रैल 1816 को सुगौली की सन्धि के बाद इस पूरे क्षेत्र पर हो गया और नेपाल की सीमा काली नदी घोषित हुई।,Angrejon ka is shetra par purn adhikar 4 April 1816 ko Sugauli ki sandhi ke baad is poore shetra par ho gaya aur Nepaal ki seema Kali nadi ghoshit hui.
2671,इसका काफी अधिक धार्मिक महत्व है।,iskaa kaafi adhik dhaarmik mahatva hai.
2672,"उदाहरण के लिये भूमंडलीय ऊष्मीकरण में भौतिकी, भूगोल, जीव विज्ञान और कई अन्य विद्या शाखाओं का एक अंतर्विषयक क्षेत्र है।","udaharana ke liye bhumandaliya usmikarana mem bhautiki, bhugola, jiva vijnana aura ka'i an'ya vidya sakha'om ka eka antarvisayaka ksetra hai."
2673,"सदस्य ६ वर्षों के लिए नियुक्त किये जाते हैं, जिसमें से एक तिहाई सदस्यों का कार्यकाल हर २ वर्षों में खत्म हो जाता है।","sadasya 6 varshon ke liye niyukt kiye jate hain, jisamen se ek tihai sadasyon ka karykal har 2 varsho men khatm ho jata hai."
2674,पुणे वेरावल एक्स्प्रेस 1088 भारतीय रेल द्वारा संचालित एक मेल एक्स्प्रेस ट्रेन है।,Pune Veraval Express 1088 bhartiya rail dwara sanchalit ek maill express train hai.
2675,डेप ने एक ही कॉस्टयूम पहनना पसंद किया जहाँ उसने पूरी सीरीज के दौरान एक रेशम से बना एक हल्का फ्रॉक कोट पहना और एक संस्करण के लिए उन्हें अपना बूट पहनने की जगह समुद्र तटीय दृश्यों में सोल या हील के बगैर इसे पहनने के लिए मनाया गया था।,Dep ne ek hi constume pahanana pasand kiya jahan usne poori series ke dauran ek resham se bana ek halka frock kog pahna aur ek sanskaaran ke liye unhne apna boot pahnane ki jagah samudr tatiy drishyon men sol ya heel ke bagair ise pahnane ke liye manaya gaya tha.
2676,और साथ में ये मुहरें सिन्धु लिपि की लिखावट के निशान भी थे जो आज भी विद्वानों असमंजस में डाल देता है।,aur saath men ye muharen Sindhu lipi ki likhavat ke nishan bhi the jo aaj bhi vidwanon asamanjas men daal deta hai.
2677,वह अनीता और सेम को एक साथ बिना कपड़ों के देख कर आश्चर्य में पड़ जाता है।,wah Anita aur sem ko ek sath bina kapdon ke dekh kar acharya me pad jata hai.
2678,तब से अब तक वीणा निरंतर प्रकाशित हो रही है।,Tab se ab tak veena nirantar prakashit ho rahi hai.
2679,एडविन म्योर : द स्ट्रक्चर ऑव द नावेल,edwin myor : the structure ov the naavel
2680,संजीव कविरत्न सांस्कृतिक मामलों के भूतपूर्व मंत्री स्वर्गीय पी॰बी॰ कविरत्न के पुत्र थे।,Sanjeev kaviratn sanskrutik mamlon ke bhutpurv mantri swargiy P.B. Kaviratn ke putr the.
2681,वोल्गा नदी,Volga nadi
2682,कुंभ राशि के जातकों को साहसपूर्वक चमकीले रंग का सूट पहनते देखना असामान्य नहीं है।,kumbh rashi ke jatako ko sahasapurvak chamkile rang ka suit pehante dekhna asamanya nahi hai.
2683,संचरणी (sphincter) के संकोच के कारण बाहर निकला हुआ भाग भीतर नहीं जाता और फँसे हुए अंत्र (हर्निया) की सी दशा हो जाती है।,sancharni (sphincter) ke sankoch ke karan bahar nikla hua bhag bhitar nahi jata aur phanse hue antra (harniya) ki si dasha ho jati hai.
2684,एम्एस का एक-दूसरा आरंभिक विवरण ब्रिटिश रोज़नामचा रखनेवाले डब्ल्यू.,MS ka ek-dusra arambhik vivaran british roznamcha rakhnevale W.
2685,परन्तु अन्तरजाल के फैलाव व भारतीय युनिकोड के विकास के बाद भारतीय यान्त्रिक लिप्यन्तरण में एक प्रकार का उर्जा निर्माण कर दिया।,parantu antarjaal ke failaav va bharatiy unicode ke vikaas ke baad bharatiy yaantrik lipyantaran mein ek prakaar ka urjaa nirmaan kar diya.
2686,फरवरी 2007 में सरकार ने पुनरुद्धार पैकेज को मंज़ूरी दे दी जिसमें निम्नलिखित चीजें शामिल थीं:,February 2007 mein sarkar ne punruddhaar package ko manjuri de di jismein nimnalikhit chijen shamil thi:
2687,रेडियोधर्मिता के गुण के कारण प्लूटोनियम के समस्थानिक और यौगिक विषैले होते हैं।,Radiodharmiyata ke gun ke karan Plutonium ke samsthanik aur Yougik vishaile hote hain.
2688,"प्रत्ययों के योग से शब्दनिर्माण का नियम, धातुओं की अपरिवर्तनीयता, धातु और प्रत्ययों की स्वरानुरूपता आदि एक कुल की भाषाओं की मुख्य विशेषताएँ हैं।","pratyayon ke yog se shabdnirman ka niyam, dhaatuon ki aparivartniyata, dhatu aur pratyyon ki swranurupta aadi ek kul ki bhashaon ki mukhya visheshtayen hain."
2689,चित्रकूट ज़िला एड्स नियंत्रण सोसाइटी एक सक्रिय भूमिका निभा रही है।,Chitrakut jila ADIS niyantran socity ek sakriy bhumika nibha rahi hai.
2690,"सलमान खान - आलोक राज मल्होत्रा, राज व पूजा का गोद लिया पुत्र","Salman Khan - Aalok Raj Malhotra, Raj v Puja ka god liya putr"
2691,"ये जान कर वो बेहोश हो जाती है, लेकिन राजा पुजारी को शादी रोकने से मना कर देता है।","ye jaan kar wo behosh ho jati hai, lekin raja pujari ko shadi rokne se mana kar deta hai."
2693,तुर्कों के पास खिलफात के लिए कोई उपयोग नहीं था और उन्होंने मुस्तफा कमाल पाशा को अपने नेता के रूप में चुना था; अरब इसे नहीं चाहते थे और अंग्रेजों ने इसका विरोध किया था।,turkon ke paas khilafat ke liye koi upyaug nahi tha aur unhone Mustafa Kamaal Pasha ko apne neta ke roop mein chuna tha; Arab ise nahi chahate the aur angrezon ne iska virodha kiya tha.
2694,कार्ड धारकों को परियोजनाओं के लिए अपने विचार प्रस्तुत करने के लिए आमंत्रित किया गया और अमेरिकन एक्सप्रेस (स्वच्छ पेयजल उपलब्ध कराने के लिए) परियोजना के 2 मिलियन डॉलर का फ़ंड तैयार कर रहा है।,card dharkon ko pariyojnaon ke liye apne vichar prastut karne ke liye aamntrit kiya gaya aur American Express (swacchh peyjal uplabdh karane ke liye) pariyojna ke 2 Million dollar ka fund taiyaar kar raha hai.
2695,औद्योगिक घोटाले,audyogik ghotaale
2696,ये परिवार भारोपेली आर्य समुदायसे है।,Ye parivar Bharopelo Arya samudayse hai.
2697,सर्वज्ञ नारायण,sarvagya narayan
2698,"फलत: गांव की माटी में रची बसी इनरसनी, खड़ुवा, हुड़कहिया, धोबियउवा, फरुआही जैसी नाच गायब हो गई।","Falat gaon ki mati men rachi basi inarsani, khuduwa, hudkahiyam dhobiyauva, Faruvaahi jaise naach gayab ho gai."
2699,समाजशास्त्रीय दृष्टि से व्यसन की रोकथाम के लिए किये जाने वाले उपायों को मोटे तौर पर चार श्रेणियों में विभाजन किया जा सकता है - (1) शैक्षणिक उपाय (2) प्रवर्तक उपाय (मनाने वाले) (3) सुविधाजनक उपाय और (4) दण्डात्मक उपाय।,samajshastriy dristi se vyasan ki rokathaam ke liye kiye jaane wale upayon ko mote taur pwr chaar shreniyon mein vibhaajan kiyaa jaa sakataa hai - (1) shaikshnaik upaay (2) pravartak upaay (manaane wale) (3) suvidhaajanak upaay aur (4) dandatmak upaay.
2700,वेस्टइंडीज ए ने टॉस जीता और मैदान में चुने गए।,West Indies A ne toss jita aur maidaan mein chune gaye.
2701,पुणे बिलासपुर एक्स्प्रेस 2850 भारतीय रेल द्वारा संचालित एक मेल एक्स्प्रेस ट्रेन है।,Pune Bilaspur Express 2850 Bharatiy Rail dwara Sanchalit ek Mail Express Train hai.
2702,उद्यान थानोन थोंग चाई पर्वत श्रृंखला में स्थित है।,udyan thanon thong chai parvat shrinkhla me sthit hai.
2703,यह कथित तौर पर प्रौद्योगिकी के रूप में 1950 के दशक में tabun और मस्टर्ड गैस का उत्पादन करने के लिए आवश्यक प्रौद्योगिकी का अधिग्रहण कर चुका था.,yah kathit taur par praudyogiki ke rup mein 1950 ke dashak mein tabun aur mustard gas ka utapadan karne ke liye aavshyak praudyogiki ka adhigrahan kar chuka tha.
2704,"आणविक स्तर पर, इलाज में सम्मलित पशुओं के मस्तिष्क रसायन को सामान्य रूप से बहाल पाया गया.","aanvik star par, ilaaj mein sammlit pashuon ke mastisk rasaayn ko saamanya rup se bahaal paya gaya."
2705,"2001 में अपनी स्नातकोत्तर उपाधि प्राप्त करने के बाद, वे बॉम्बे डाइंग के उप प्रबंध निदेशक के रूप में लौटे और बाद में पदोन्नत होकर संयुक्त प्रबंध निदेशक बने।","2001 men apni Snatkotar upadhi prapt karne ke baad, ve Bombay Dyeing ke up prabandh nideshak ke rup men laute aur baad men padonnat hokar sanyukt prabandh nideshak bane."
2706,हर्ष मंदर,Harsh Mandar
2707,ज्योतिष ग्रंथों में इसका उपयोग होता है।,jyotish grantho me iska upayog hota hai.
2708,"ऐसा भूमि में जल निकास ना होने से, जलवायु की विपरीत परिस्थितियों होने के कारण हो सकता है।","Aisa bhumi mein jal nikas na hone se, jalvayu ki viprit paristhitiyon hone ke karan ho sakta hai."
2709,"कैसलरे यद्यपि चतुर्मुखी मैत्री से अलग नहीं होना चाहता था, किन्तु साथ ही वह इस बात पर भी तुला हुआ था कि वह दूसरे राष्ट्रों के आनतरिक मामलों में हस्तक्षेप की नीति को सफल नहीं होने देगा।","kaislare yadyapi chaturmukhi maitri se alag nahin hona chahta tha, kintu saath hi vah is baat par bhi tulaa hua tha ki vah dusare rastron ke aantarik maamlon mein hastkshep ki niti ko safal nahin hone dega."
2710,"उन्होंने देखा की ये बंधन भीतर का है, बाहर का नहीं।","Unhone dekha ki uye bandhan bhitar ka hai, bahar ka nahi."
2711,पर जैन धर्मावलंबी इसे प्रसिद्ध तीर्थंकर भगवान वासुपूज्य के चरण चिह्न बतलाते हैं और पूरे विश्वास और आस्था के साथ दूर-दूर से इनके दर्शन करने आते हैं।,par jain dharmaavalambi ise prasiddh tirthankar bhagwan vaasupujya ke charan chihn batlaate hain aur pure vishvaas aur aastha ke saath dur-dur se inke darshan karne aate hain.
2712,"बहुत से पृष्ठों के प्रतिरूप मुड़े हुए स्थायी तारों से उनके मुख्य काट प्रदर्शित कर बनाए जा सकते हैं, किंतु कितने ही चक्करदार नम्य प्रतिरूप, छड़ों और पत्तियों में सिरों पर कीलें और कब्जे जड़कर, बनाए जा सकते हैं।","Bahut se prushthon ke pratirup mude huye sthayi taron se unke mukhya kaat pradarshit kar banaye jaa sakte hain, kintu Kitne hi chakkardar namya pratirup, chhadon aur pattiyan men siron par kilen aur kabje jadkar, banaye jaa sakte hain."
2713,इस युग में भी वसुदेव अनिवार्य हैं।,is yug me bhi vasudev anivarya hai.
2714,उनके पिता शिव चरण वोहरा रेलवे के एक उच्च अधिकारी थे।,Unke pita Shiva Charan Vohra railway ke ek uchh adhikari the.
2715,इससे पहले ये रिकॉर्ड ऑस्ट्रेलिया के पूर्व कप्तान एलन बॉर्डर के नाम से था।,isse pehle ye record austrelia ke purva kaptan alan border ke nam se tha.
2716,"अगस्त 1914 में जब प्रथम विश्व युद्ध हुआ, रोमानिया ने तटस्थता की घोषणा कर दी.","august 1914 me jab pratham vishva yuddh hua, romania ne tatasthata ki ghoshna kar di."
2717,"आइंस्टीन के पिता, अल्बर्ट ने , 1933 में विरोधी नाजी खतरे से बचने के लिए जर्मनी छोड़ दिया।","Einstein ke pita, Albert ne , 1933 mein virodhi naaji khatare se bachane ke liye Germany chhod diya."
2718,"सहायक, तुलनीय, बार-बार दुहराए जाने वाले वैज्ञानिक अध्ययन की कमी के बावजूद अधिकांश जीर्ण रोगों के सामान ही, कुछ मरीजों द्वारा वैकल्पिक उपचार अपनाए जाते हैं।","sahayaka, tulaniya, bara-bara duhara'e jane vale vaijnanika adhyayana ki kami ke bavajuda adhikansa jirna rogom ke samana hi, kucha marijom dvara vaikalpika upacara apana'e jate haim."
2719,"विज्ञान का अनुसंधान,","vigyan ka anusandhan,"
2720,"में देकिया को बाहर निकालने का दबाव बन गया, इस प्रकार से यह छोड़ दिया जाने वाला पहला प्रान्त बन गया।","men Dekiya ko bahar nikalane ka dabav ban gaya, is prakar se yah chhod diya jane wala pahla prant ban gaya."
2721,"१९४८ में, मार्गरेट लेई ने कैथोलिक धर्म में परिवर्तित किया और १९५० में एक कॉन्वेंट में प्रवेश किया।",1948 mein margaret lai ne katholik dharma mein parivartit kiya aur 1950 mein ek convent mein pravesh kiya.
2722,जिले का मुख्यालय फतेहगढ़ साहिब है।,jile ka mukhyalay Fatehgadh Sahib hai.
2723,"1844 में, उन्होंने एक व्हीलचेयर का इस्तेमाल शुरू कर दिया.","1844 men, unhone ek wheechair ka istemaal shuru kar diya."
2724,"मनोविकार विज्ञान इस प्रकार हमारी दृष्टि मानव समाज में प्रचलित जीवन के उन पुराने तरीकों और मूल्यों की ओर फेर देता है, जिनके ह्रास के कारण मनुष्य को अनेक प्रकार के मानसिक क्लेश भोगने पड़ते हैं।","manovikar vigyan is prakar hamari drishti manav samaj me prachalit jivan ke un purane tariko aur mulyo ki or pher deta hai, jinke hras ke karan manushya ko anek prakar ke mansik klesh bhogne padte hai."
2725,"भारतीय गुर्जर जाति मे केवल पाँच गोत्र हूण सरदारों के नाम पर हैं, तथा शेष गुर्जर जाट गोत्रों से संबन्धित हैं।","Bharatoy Gurjar jati men keval panch gotra hun sardaron ke nam par hain, tatha shesh Gurjar Jaat Gotron se sambandhit hai."
2726,अता-उर-रहमान एक राजनीतिज्ञ है पाकिस्तान के राष्ट्रीय विधानसभा में | वह NA-25 निर्वाचन क्षेत्र का प्रतिनिधित्व करता है पाकिस्तान का उत्तर पश्चिम सीमांत प्रान्त के लिए |,Ata-ur-Rehman ek rajnitigya hai Pakistan ke rashtriy vidhansabha mein | vah NA-25 nirvaachan kshetra ka pratinidhitva karta hai Pakistan ka Uttar Pashchim simaant praant ke liye |
2727,आधिकारिक वेबसाइट,aadhikaarik website
2728,"शैवती, वैष्णवती, शक्ति, गणपति, पुराणिक और वैदिक विद्यालय हिंदुओं के बीच प्रतिनिधित्व करते हैं।","shaivati, vaishnavati, shakti, ganpati, puranik aur vaidik vidyalaya hinduo ke bich pratinidhitva karte hai."
2729,"उनके पिता ने उन्हें बचपन से ही पियानो, बैंजो और गिटार जैसे वाद्ययंत्र बजाने के लिए प्रोत्साहित किया, जिनकी मृत्यु के समय बैरेट 14 साल के थे।","unke pita ne unhen bachpan sem hii piyano, bainjo aur gitaar jaise vaadyayantr bajaane ke liye prerit kiya, jinki mrityu ke samay bairet 14 saal ke the."
2730,जयनाथ पति का एक और उपन्यास ‘गहनीत’ संभवतः 1937 में छपा।,Jaynath pati ka ek aur upanyas 'gruhnit' sambhavtah 1937 men chhapa.
2731,1952 उत्तर प्रदेश विधान सभा चुनाव में इन्होंने उत्तर प्रदेश के पीलीभीत जिले के 25 - पीलीभीत (पश्चिम) विधान सभा निर्वाचन क्षेत्र से कांग्रेस की ओर से चुनाव में भाग लिया।,1952 Uttar Predesh Vidhan Sabha chunav men inhonne Uttar Pradesh ke Piilibhit jile ke 25 - Peelibhit (Pashchim) Vidhan Sabha nirvachan kshetr se congress kii or se chunav men bhag liya.
2732,इस पुस्तक का नाम उन्होंने कैथेराइन रखा था।,is pustak ka naam unhonne Catherine rakha tha.
2733,उसे कहानियाँ सुनाना और बैठ कर काम करना पसंद है।,use kahaniyan sunana aur baith kar kaam karna pasand hai.
2734,दूसरी ढीली घिरनी न तो धुरी के घूमने से घूमती है और न इसके घूमने से धुरी घूमती है।,Dusri dhili ghirni na to dhuri ke ghumne se ghumti hai aur na iske ghumne se dhuri ghumti hai.
2735,"भारतीय संविधान की धारा 343, धारा 348 (2) तथा 351 का सारांश यह है कि देवनागरी लिपि में लिखी और मूलत: संस्कृत से अपनी पारिभाषिक शब्दावली को लेने वाली हिन्दी भारतीय संघ की राजभाषा है।","bharatiya sanvidhan ki dhara 343, dhara 348 (2) tatha 351 ka saransh yah hai ki devnagri lipi me likhi aur mulata: sanskrit se apni paribhashik shabdavali ko lene vali hindi bharatiya sangh ki rajbhasha hai."
2736,"तिमोर सागर, एक अपेक्षाकृत उथला समुद्र है जो उत्तर में तिमोर द्वीप, पूर्व में अराफुरा सागर, दक्षिण में ऑस्ट्रेलिया और पश्चिम में हिंद महासागर से घिरा है।","timor sagar, ek apekshakrit uthla samundra hai jo uttar me timor dvip, purv me arafura sagar, dakshin me austrelia aur paschim me hind mahasagar se ghira hai."
2737,"यह विल टर्नर के आर्क के एक हिस्से के रूप में कार्य करता है जहाँ स्पैरो उसे एक यह बताता है एक समुद्री डाकू भी उसके पिता की तरह, एक सज्जन आदमी हो सकता है।","yah Wil Turner ke aark ke ek hisse ke roop men kary karta hai jahan spairo use ek yah batata hai ek samudri daku bhi uske pita ki tarah, ek sajjan aadmi ho sakta hai."
2738,भारत में ईरान के राजदूत गुलामरजा अंसारी ने कहा कि ईरान मामले की जांच कर रहा है।,Bharat mein Iran ke raajdut Gholamreza Ansari ne kaha ki Iran maamle ki janch kar raha hai.
2739,"उनकी टिप्पणी के अनुसार, पहला पक्षी व्यक्ति विशेष की आत्मा का प्रतिनिधित्व करता है, जबकि दूसरा ब्राह्मण या भगवान का प्रतिनिधित्व करता है।","unki tippani ke anusaar, phlaa pakshi vyakti vishes ki aatmaa kaa pratinidhitva kartaa hai, jabki dusraa braahman yaa bhgavaan kaa pratinidhitv kartaa hai."
2740,"इस अवधि में डॉ॰ रिछारिया मध्यप्रदेश सरकार के कृषि सलाहकार के रूप में एवं वर्ष 1975 से 1978 तक मध्यप्रदेश धान अनुसंधान केंद्र, रायपुर के निदेशक भी रहे।","Is avadhi men Dr. Richhariya Madhyapradesh Sarkar ke krushi salahkar ke rup men evam varsh 1975 se 1978 tak Madhyapradesh dhaan anusandhan kendra, Raipur ke nideshak bhi rahe."
2741,"सितंबर 2013 से पहले तक , सीरिया उन 7 राष्ट्रों में से एक था जो रासायनिक हथियार कन्वेंशन में हस्ताक्षरकर्ता राष्ट्र नहीं थे।","Septembeer 2013 se pahale tak , Siriya un 7 rashtron men se el tha jo rasayanik hathiyar convention men hastaksharkarta rashtra nahi the."
2742,"इस प्रकार के विषयनिरूपण में प्राय: विस्तार की संभावना रहती है, किंतु नाभादास ने भाषा पर अपूर्व अधिकार का परिचय दिया है और प्राय: एक ही छंद में भक्त विशेष के प्रमुख गुणों का वर्णन कर दिय है।","is prakar ke vishaynirupan men pray: vistaar ki sambhavana rahti hai, kintu Nabhadaas ne bhash par apurv adhikaar ka parichay diya hai aur pray: ek hi chhand men bhakt vishesh ke pramukh gunon ka varnan kar diya hai."
2743,"ओवरव्हेल्मिंग पोस्ट-(ऑटो) प्लीहा की शल्यक्रिया का संक्रमण (OPSI), जो विवृत जीवों द्वारा प्रेरित कार्यात्मक प्लीहाभाव के कारण होता है, जैसे स्ट्रेप्टोकोकस न्युमोनिया तथा हिमोफिलस इन्फ्लुएंजा .","Overweighting post -(auto) plihaa ki shalyakriya ka sankraman (OPSI), jo vivrit jivon dwara prerit kaaryaatmak plihaabhaav ke kaaran hota hai, jaise Streptococcus pneumoniae tatha Haemophilus influenza."
2744,कार्बन बाद में इच्छित मात्रा तक आक्सीकरण की क्रिया द्वारा निकाल दिया जाता है।,Carban baad men icchhit matra tak Oxikaran ki kriya dwara nikal diya jata hai.
2745,जब उनकी चिता सजी तो उनकी सभी रानियाँ उस चिता पर सती होने को चढ़ गईं।,jab unki chita saji to unki sabhi raniya us chita par sati hone ko chadh gai.
2746,जंगल में उन्होंने घोर तपस्या शुरु की और भगवान विष्णु की स्तुति करने लगे।,jungle me unhone ghor tapasya shuru ki aur bhagvan vishnu ki stuti karne lage.
2747,राशि गुण म्यूटेबल,rashi gun Myutebal
2749,"प्रेरण भट्ठी में धातु प्रेरित विद्युद्धारा के प्रवाह को अवरुद्ध करती है, जिससे ऊष्मा उत्पन्न होती है।","preran bhatthi mein dhatu prerit vidyudhara ke parvah ko aavrudh karti hai, jisse ushma utpann hoti hai."
2750,अभियोग की कार्रवाई संवाददाताओं और जनता के लिए खुली हुई थी।,abhiyog ki karvai sanvadadataon aur janta ke liye khuli hui thi.
2751,"भरामारा रेलवे स्टेशन, कुश्तीया, ब्रॉड गेज","bharamara railway station, kushtiya, broad gauge"
2752,नएवेल्ल् राब्बरमादे कहा गया है यह संक्रमणकालीन रोजगार सेवाओं के रूप में अच्छी तरह से विच्छेद लाभों की पेशकश करेगा।,naevell rabbarmaade kaha gaya hai yeh sankramankalin rojgar sevao ke rup me acchi tarah se vicched labho ki peshkash karega.
2753,गॉंव के लोग दो धड़ों में बँट गये थे।,gaon ke log do dhadon mein bant gaye the.
2754,"ऐसी तकनीकी का प्रयोग इलेक्ट्रोप्लेटिग ढंग से किया जाता है तथा इस प्रकार संचयित पीपे, डिब्बे, रेडियेटर, बॉयलर और बड़े बड़े पाइप लाइनों की रक्षा कैथोडिक आवरण से सफलतापूर्वक की जाती है।","aisi takniki ka prayog electroplatig dhang se kiya jata hai tatha is prakar sanchayit pipe, dibbe, radiator, boiler aur bade bade pipe lino ki raksha cathodic aavaran se safalatapurvak ki jati hai."
2755,एक प्रमाणित कंपनी निवेश सलाहकार को प्रत्येक क्लाइंट की व्यक्तिगत जरूरतों और जोखिम प्रोफाइल का मूल्यांकन करना चाहिए.,ek pramanit kampani nivesh salahkar ko pratek klaint ki vyaktigat jaruraton aur jokhim profile ka mulyakan karna chahiye.
2756,प्रदर्शित चित्र भारतीय सभ्यता और संस्कृति के विभिन्न पहलुओं को प्रकाशित करते हैं।,pradarshit chitr bharatiya sabhyata aur sanskriti ke vibhinna pehluo ko prakashit karte hai.
2757,वेदव्यास कृत इस पुराण में पहले योग फिर कल्प के विषय में बताया गया है।,vedvyas krut is puraan mein pahle yog fir kalp ke vishay mein bataya gaya hai.
2758,दूसरे शब्दों में कह सकते हैं कि जहाँ भी राजा अपनी राजधानी बना लेता था उस स्थान के साथ गढ़ शब्द का प्रयोग होने लगता था।,dusre shabdon mein kah sakte hain ki jahan bhi raaja apni raajdhani bana leta tha us sthaan ke saath gadh shabd ka prayog hone lagta tha.
2759,यह मियामी मार्लिंस का घरेलू मैदान है।,yah Miami Marlins ka gharelu maidan hai.
2760,बेक्ड पॉम्फ्रेट एक पारसी व्यंजन है।,Bekd Pomfrt ek Parsi vyanjan hai.
2761,वह वेश बदलकर उस कुटिया में विक्रम से मिला जिसमें वे साधना करते थे।,veh vesh badalakar us kutiya me vikram se mila jisme ve sadhna karte the.
2762,"तहाँ बाई ने सवाई अंगरेज सो भंजाई, तहाँ रानी मरदानी झुकझारी किरवान।।","Tahan bai ne Sawai Angrej so Bhanjai, Tahan Rani Mardani Jhukjhari Kirwan.."
2763,"हेमाटाइट से लौहे को निष्कर्षण किया जाता है, जिससे ऑक्सीजन अलग हो जाता है।","Hematait se lohen ko nishkrshan kiya jata hai, jisse oxigen alag ho jata hai."
2764,इस विधि से अपद्रव्यों का शीघ्र ऑक्सीकरण होकर नाइट्रोजन रहित इस्पात की प्राप्ति होती है।,Is vidhi se updravyon ka shighra oxykaran hokar nitrogen rahit ispat ki prapti hoti hai.
2765,इसके अलावा जर्मनी के पूर्वी भाग में कुछ भाग पोलैण्ड को तथा कुछ सोवियत संघ को दे दिया गया।,iske alawa Garmani ke poorvi bhag men kuchh bhaag Poland ko tatha kuch Soviyat sangh ko de diya gaya.
2766,दया देवी,Dayaa devi
2767,(२) इस तरह भाषा की मानकता का प्रश्न तत्त्वतः भाषाविज्ञान का न होकर समाज-भाषाविज्ञान का है।,"(2) Is tarah bhasha ki manakta ka prashna tatwatah bhashavigyan ka n hokar samaj-bhashavigyan ka hai,"
2768,"डॅाक्टर द्वारा ऐम्फेटामाइन की मध्यम डोज थकान को नियंत्रित करती है इनमें कैफीन और कोकीन भी सम्मिलित है परन्तु ऐम्फेटामाइन का दीर्घकालिक भारी उपयोग बौद्धिक, भावनात्मक, सामाजिक और आर्थिक विकारों को उत्पन्न करता है।","Docter dwara Aemfetamain ki madhyam doj thakan ko niyantrit karti hai inmen Kaifin aur Kokin bhi sammilit hai parntu Aemfetamain ka dirghkalin bhari upyog bouddhik, bhavanatmak, samajik aur aarthik vikaron ko utpann karta hai."
